"Age (years b2k)","d18O GISP2 (‰)","Age BP (SEAD)"
30750,-41.16,30700
30800,-41.16,30750
30800,-42.17,30750
30850,-42.17,30800
30850,-41.09,30800
30900,-41.09,30850
30900,-42.97,30850
30950,-42.97,30900
30950,-42.83,30900
31000,-42.83,30950
31000,-42.09,30950
31050,-42.09,31000
31050,-43.18,31000
31100,-43.18,31050
31100,-42.07,31050
31150,-42.07,31100
31150,-42.53,31100
31200,-42.53,31150
31200,-41.28,31150
31250,-41.28,31200
31250,-41.43,31200
31300,-41.43,31250
31300,-42.63,31250
31350,-42.63,31300
31350,-42.54,31300
31400,-42.54,31350
31400,-42.67,31350
31450,-42.67,31400
31450,-41.35,31400
31500,-41.35,31450
31500,-42.36,31450
31550,-42.36,31500
31550,-42.64,31500
31600,-42.64,31550
31600,"NaN",31550
