sample_identifier_short,physical_sample_id,sample_identifier,latitude_dd,longitude_dd,sampling_context,Age_BP_From,Age_BP_To,region
COUN000356|1627,1627,West Bromwich|COUN000356|I|1627,52.514168,-1.9763889,Stratigraphic sequence,11134,10771,Nor
COUN000356|1628,1628,West Bromwich|COUN000356|J|1628,52.514168,-1.9763889,Stratigraphic sequence,10955,10544,Nor
COUN000356|1629,1629,West Bromwich|COUN000356|K|1629,52.514168,-1.9763889,Stratigraphic sequence,10971,10556,Nor
COUN000356|1630,1630,West Bromwich|COUN000356|L|1630,52.514168,-1.9763889,Stratigraphic sequence,11085,10427,Nor
COUN000357|1633,1633,West Drayton|COUN000357|S1|1633,51.5,-0.47416666,Stratigraphic sequence,13307,12808,Nor
COUN000360|1646,1646,Wilden|COUN000360|R2_35|1646,52.336666,-2.2802777,Stratigraphic sequence,15556,14076,Nor
COUN000360|1652,1652,Wilden|COUN000360|O_X|1652,52.336666,-2.2802777,Stratigraphic sequence,12144,10589,Nor
COUN000360|1654,1654,Wilden|COUN000360|O_Ytop|1654,52.336666,-2.2802777,Stratigraphic sequence,12370,10742,Nor
COUN000360|1657,1657,Wilden|COUN000360|O_Ybott|1657,52.336666,-2.2802777,Stratigraphic sequence,13298,12693,Nor
COUN000360|1658,1658,Wilden|COUN000360|Z|1658,52.336666,-2.2802777,Stratigraphic sequence,13715,12436,Nor
COUN000376|1703,1703,Yoxall Bridge|COUN000376|S1|1703,52.75778,-1.8072222,Stratigraphic sequence,3031,2760,Nor
COUN000390|1727,1727,Bidford on Avon: Pilgrim Lock|COUN000390|S12|1727,52.15,-1.85,Stratigraphic sequence,3327,2789,Nor
COUN000390|1729,1729,Bidford on Avon: Pilgrim Lock|COUN000390|S14|1729,52.15,-1.85,Stratigraphic sequence,3323,2782,Nor
COUN000390|1732,1732,Bidford on Avon: Pilgrim Lock|COUN000390|S17|1732,52.15,-1.85,Stratigraphic sequence,3446,2882,Nor
COUN000397|1908,1908,Tiln|COUN000397|S|1908,53.345554,-0.9575,Stratigraphic sequence,13291,12972,Nor
COUN000400|1911,1911,Church Stretton Site CS1 and CS2|COUN000400|CS1_A|1911,52.541668,-2.8022223,Stratigraphic sequence,13970,13354,Nor
COUN000400|1912,1912,Church Stretton Site CS1 and CS2|COUN000400|CS1_B|1912,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1913,1913,Church Stretton Site CS1 and CS2|COUN000400|CS1_C|1913,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1914,1914,Church Stretton Site CS1 and CS2|COUN000400|CS1_D|1914,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1915,1915,Church Stretton Site CS1 and CS2|COUN000400|CS1_E|1915,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1916,1916,Church Stretton Site CS1 and CS2|COUN000400|CS1_F|1916,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1917,1917,Church Stretton Site CS1 and CS2|COUN000400|CS1_G|1917,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1918,1918,Church Stretton Site CS1 and CS2|COUN000400|CS1_H|1918,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1919,1919,Church Stretton Site CS1 and CS2|COUN000400|CS1_I|1919,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
